# Онтология аттракторов человеческого организма с количественными оценками
1.	Точечные аттракторы (всего: 4000-5000)
1.1.	Молекулярный уровень (1600-2000)
1.1.1.	Концентрационные аттракторы (900-1100)
1.1.1.1.	Энергетические концентрационные аттракторы (300-350)
1.1.1.1.1.	Аттракторы концентрации АТФ/АДФ (120-140)
1.1.1.1.1.1.	Митохондриальные АТФ/АДФ аттракторы (40-45)
1.1.1.1.1.1.1.	Матриксные аттракторы (15-17) 
1.1.1.1.1.1.1.1.	Субстратные комплексы (5-6) 
1.1.1.1.1.1.1.2.	Ферментные комплексы (5-6) 
1.1.1.1.1.1.1.3.	Регуляторные комплексы (5-5)
1.1.1.1.1.1.2.	Мембранные аттракторы (13-14) 
1.1.1.1.1.1.2.1.	Внутренняя мембрана (4-5) 
1.1.1.1.1.1.2.2.	Межмембранное пространство (4-4) 
1.1.1.1.1.1.2.3.	Внешняя мембрана (5-5)
1.1.1.1.1.1.3.	Транспортные аттракторы (12-14) 
1.1.1.1.1.1.3.1.	АТФ/АДФ транслоказы (4-5) 
1.1.1.1.1.1.3.2.	Поринные каналы (4-4) 
1.1.1.1.1.1.3.3.	Переносчики метаболитов (4-5)
1.1.1.1.1.2.	Цитозольные АТФ/АДФ аттракторы (40-45)
1.1.1.1.1.2.1.	Гликолитические аттракторы (13-15)
1.1.1.1.1.2.1.1.	Ферментные комплексы (5-6)
1.1.1.1.1.2.1.2.	Субстратные пулы (4-5)
1.1.1.1.1.2.1.3.	Регуляторные узлы (4-4)
1.1.1.1.1.2.2.	Сигнальные аттракторы (14-15)
1.1.1.1.1.2.2.1.	Киназные каскады (5-5)
1.1.1.1.1.2.2.2.	Фосфатазные системы (4-5)
1.1.1.1.1.2.2.3.	Кальций-зависимые узлы (5-5)
1.1.1.1.1.2.3.	Структурные аттракторы (13-15)
1.1.1.1.1.2.3.1.	Цитоскелетные комплексы (4-5)
1.1.1.1.1.2.3.2.	Мембранные микродомены (4-5)
1.1.1.1.1.2.3.3.	Органельные контакты (5-5)
1.1.1.1.1.3.	Субклеточные АТФ/АДФ градиенты (40-50)
1.1.1.1.1.3.1.	Околомембранные градиенты (13-16)
1.1.1.1.1.3.1.1.	Плазматическая мембрана (4-5)
1.1.1.1.1.3.1.2.	Эндоплазматический ретикулум (4-5)
1.1.1.1.1.3.1.3.	Аппарат Гольджи (5-6)
1.1.1.1.1.3.2.	Компартментальные градиенты (14-17)
1.1.1.1.1.3.2.1.	Ядерные (5-6)
1.1.1.1.1.3.2.2.	Везикулярные (4-5)
1.1.1.1.1.3.2.3.	Эндосомальные (5-6)
1.1.1.1.1.3.3.	Функциональные градиенты (13-17)
1.1.1.1.1.3.3.1.	Синаптические (4-6)
1.1.1.1.1.3.3.2.	Секреторные (4-5)
1.1.1.1.1.3.3.3.	Сократительные (5-6)
1.1.1.1.2.	Аттракторы концентрации глюкозы (100-110)
1.1.1.1.2.1.	Внутриклеточные глюкозные пулы (35-40)
1.1.1.1.2.1.1.	Цитозольные пулы (12-14)
1.1.1.1.2.1.1.1.	Свободная глюкоза (4-5)
1.1.1.1.2.1.1.2.	Фосфорилированные формы (4-4)
1.1.1.1.2.1.1.3.	Связанные формы (4-5)
1.1.1.1.2.1.2.	Органельные пулы (11-13)
1.1.1.1.2.1.2.1.	Эндоплазматический ретикулум (4-5)
1.1.1.1.2.1.2.2.	Аппарат Гольджи (3-4)
1.1.1.1.2.1.2.3.	Лизосомы (4-4)
1.1.1.1.2.1.3.	Везикулярные пулы (12-13)
1.1.1.1.2.1.3.1.	Транспортные везикулы (4-4)
1.1.1.1.2.1.3.2.	Секреторные гранулы (4-4)
1.1.1.1.2.1.3.3.	Эндосомы (4-5)
1.1.1.1.2.2.	Мембранные градиенты глюкозы (35-35)
1.1.1.1.2.2.1.	Плазматические градиенты (12-12)
1.1.1.1.2.2.1.1.	Апикальные (4-4)
1.1.1.1.2.2.1.2.	Базолатеральные (4-4)
1.1.1.1.2.2.1.3.	Латеральные (4-4)
1.1.1.1.2.2.2.	Внутриклеточные градиенты (11-11)
1.1.1.1.2.2.2.1.	Эндоплазматические (4-4)
1.1.1.1.2.2.2.2.	Гольджи (3-3)
1.1.1.1.2.2.2.3.	Лизосомальные (4-4)
1.1.1.1.2.2.3.	Транспортные градиенты (12-12)
1.1.1.1.2.2.3.1.	GLUT-зависимые (4-4)
1.1.1.1.2.2.3.2.	SGLT-зависимые (4-4)
1.1.1.1.2.2.3.3.	Везикулярные (4-4)
1.1.1.1.2.3.	Компартментальные концентрации (30-35)
1.1.1.1.2.3.1.	Органельные концентрации (10-12)
1.1.1.1.2.3.1.1.	Ядерные (3-4)
1.1.1.1.2.3.1.2.	Митохондриальные (3-4)
1.1.1.1.2.3.1.3.	Лизосомальные (4-4)
1.1.1.1.2.3.2.	Везикулярные концентрации (10-11)
1.1.1.1.2.3.2.1.	Секреторные (3-4)
1.1.1.1.2.3.2.2.	Эндоцитозные (3-3)
1.1.1.1.2.3.2.3.	Транспортные (4-4)
1.1.1.1.2.3.3.	Цитоплазматические домены (10-12)
1.1.1.1.2.3.3.1.	Периферические (3-4)
1.1.1.1.2.3.3.2.	Центральные (3-4)
1.1.1.1.2.3.3.3.	Околоядерные (4-4)
1.1.1.1.3.	Аттракторы концентрации жирных кислот (80-100)
1.1.1.1.3.1.	Мембранно-связанные пулы (30-35)
1.1.1.1.3.1.1.	Структурные пулы (10-12)
1.1.1.1.3.1.1.1.	Фосфолипид-связанные (3-4)
1.1.1.1.3.1.1.2.	Белок-ассоциированные (3-4)
1.1.1.1.3.1.1.3.	Рафт-локализованные (4-4)
1.1.1.1.3.1.2.	Сигнальные пулы (10-11)
1.1.1.1.3.1.2.1.	Рецептор-связанные (3-4)
1.1.1.1.3.1.2.2.	Каскад-ассоциированные (3-3)
1.1.1.1.3.1.2.3.	Регуляторные комплексы (4-4)
1.1.1.1.3.1.3.	Метаболические пулы (10-12)
1.1.1.1.3.1.3.1.	Ферментные комплексы (3-4)
1.1.1.1.3.1.3.2.	Транспортные системы (3-4)
1.1.1.1.3.1.3.3.	Энергетические депо (4-4)
1.1.1.1.3.2.	Цитозольные пулы (25-30)
1.1.1.1.3.2.1.	Свободные пулы (8-10)
1.1.1.1.3.2.1.1.	Короткоцепочечные (2-3)
1.1.1.1.3.2.1.2.	Среднецепочечные (3-3)
1.1.1.1.3.2.1.3.	Длинноцепочечные (3-4)
1.1.1.1.3.2.2.	Связанные пулы (8-10)
1.1.1.1.3.2.2.1.	Белок-ассоциированные (3-4)
1.1.1.1.3.2.2.2.	Везикула-связанные (2-3)
1.1.1.1.3.2.2.3.	Комплекс-связанные (3-3)
1.1.1.1.3.2.3.	Метаболические пулы (9-10)
1.1.1.1.3.2.3.1.	Активированные формы (3-3)
1.1.1.1.3.2.3.2.	Промежуточные метаболиты (3-3)
1.1.1.1.3.2.3.3.	Регуляторные формы (3-4)
1.1.1.1.3.3.	Транспортные формы (25-35)
1.1.1.1.3.3.1.	Внутриклеточные транспортеры (8-12)
1.1.1.1.3.3.1.1.	FABP-связанные (3-4)
1.1.1.1.3.3.1.2.	Ацил-КоА-связанные (2-4)
1.1.1.1.3.3.1.3.	Карнитин-связанные (3-4)
1.1.1.1.3.3.2.	Везикулярные транспортеры (8-11)
1.1.1.1.3.3.2.1.	Липидные капли (3-4)
1.1.1.1.3.3.2.2.	Транспортные везикулы (2-3)
1.1.1.1.3.3.2.3.	Экзоцитозные везикулы (3-4)
1.1.1.1.3.3.3.	Мембранные транспортеры (9-12)
1.1.1.1.3.3.3.1.	CD36-зависимые (3-4)
1.1.1.1.3.3.3.2.	FATP-зависимые (3-4)
1.1.1.1.3.3.3.3.	Диффузионные каналы (3-4)
1.1.1.2.	Регуляторные концентрационные аттракторы (400-450)
1.1.1.2.1.	Аттракторы концентрации ионов (150-170)
1.1.1.2.1.1.	Кальциевые аттракторы (50-55)
1.1.1.2.1.1.1.	Цитозольные кальциевые аттракторы (15-17)
1.1.1.2.1.1.2.	Митохондриальные кальциевые аттракторы (12-14)
1.1.1.2.1.1.3.	Эндоплазматические кальциевые аттракторы (12-13)
1.1.1.2.1.1.4.	Везикулярные кальциевые аттракторы (11-11)
1.1.1.2.1.2.	Натрий-калиевые аттракторы (50-55)
1.1.1.2.1.2.1.	Мембранные натрий-калиевые градиенты (15-17)
1.1.1.2.1.2.2.	Внутриклеточные натриевые пулы (12-13)
1.1.1.2.1.2.3.	Внутриклеточные калиевые пулы (12-13)
1.1.1.2.1.2.4.	Межклеточные ионные градиенты (11-12)
1.1.1.2.1.3.	Протонные аттракторы (50-60)
1.1.1.2.1.3.1.	Митохондриальные протонные градиенты (15-17)
1.1.1.2.1.3.2.	Лизосомальные протонные пулы (12-14)
1.1.1.2.1.3.3.	Везикулярные pH-градиенты (12-14)
1.1.1.2.1.3.4.	Цитозольные pH-буферные системы (11-15)
1.1.1.2.2.	Аттракторы концентрации гормонов (130-150)
1.1.1.2.2.1.	Мембранные рецепторные пулы (45-50)
1.1.1.2.2.1.1.	G-белок связанные рецепторы (15-17)
1.1.1.2.2.1.2.	Тирозинкиназные рецепторы (12-13)
1.1.1.2.2.1.3.	Ионотропные рецепторы (10-11)
1.1.1.2.2.1.4.	Адгезионные рецепторы (8-9)
1.1.1.2.2.2.	Внутриклеточные рецепторные пулы (45-50)
1.1.1.2.2.2.1.	Ядерные рецепторы (15-17)
1.1.1.2.2.2.2.	Цитоплазматические рецепторные комплексы (12-13)
1.1.1.2.2.2.3.	Эндосомальные рецепторные пулы (10-11)
1.1.1.2.2.2.4.	Внутриклеточные сигнальные платформы (8-9)
1.1.1.2.2.3.	Сигнальные каскады (40-50)
1.1.1.2.2.3.1.	МАР-киназные каскады (12-14)
1.1.1.2.2.3.2.	JAK-STAT сигнальные пути (10-12)
1.1.1.2.2.3.3.	PI3K/AKT каскады (10-12)
1.1.1.2.2.3.4.	cAMP/PKA пути (8-12)
1.1.1.2.3.	Аттракторы концентрации нейромедиаторов (120-130)
1.1.1.2.3.1.	Синаптические концентрации (40-45)
1.1.1.2.3.1.1.	Везикулярные пулы нейромедиаторов (12-14)
1.1.1.2.3.1.2.	Синаптическая щель (10-11)
1.1.1.2.3.1.3.	Постсинаптические рецепторные кластеры (10-11)
1.1.1.2.3.1.4.	Пресинаптические регуляторные пулы (8-9)
1.1.1.2.3.2.	Внесинаптические концентрации (40-45)
1.1.1.2.3.2.1.	Диффузные внеклеточные пулы (12-14)
1.1.1.2.3.2.2.	Глиальные регуляторные зоны (10-11)
1.1.1.2.3.2.3.	Периваскулярные концентрации (10-11)
1.1.1.2.3.2.4.	Внесинаптические рецепторные кластеры (8-9)
1.1.1.2.3.3.	Метаболические пулы (40-40)
1.1.1.2.3.3.1.	Синтетические пулы (12-12)
1.1.1.2.3.3.2.	Деградационные пулы (10-10)
1.1.1.2.3.3.3.	Транспортные пулы (10-10)
1.1.1.2.3.3.4.	Регуляторные пулы (8-8)
1.1.1.3.	Структурные концентрационные аттракторы (200-300)
1.1.1.3.1.	Аттракторы концентрации структурных белков (120-180)
1.1.1.3.1.1.	Цитоскелетные белки (40-60)
1.1.1.3.1.1.1.	Актиновые филаменты (15-20)
1.1.1.3.1.1.1.1.	Мономерные пулы G-актина (5-7)
1.1.1.3.1.1.1.2.	Полимерные F-актин структуры (5-7)
1.1.1.3.1.1.1.3.	Актин-связывающие белки (5-6)
1.1.1.3.1.1.2.	Микротрубочки (13-20)
1.1.1.3.1.1.2.1.	Тубулиновые субъединицы (4-7)
1.1.1.3.1.1.2.2.	Полимерные микротрубочки (4-7)
1.1.1.3.1.1.2.3.	Белки, ассоциированные с микротрубочками (5-6)
1.1.1.3.1.1.3.	Промежуточные филаменты (12-20)
1.1.1.3.1.1.3.1.	Кератиновые филаменты (4-7)
1.1.1.3.1.1.3.2.	Виментиновые филаменты (4-7)
1.1.1.3.1.1.3.3.	Ламины и другие типы (4-6)
1.1.1.3.1.2.	Матриксные белки (40-60) 
1.1.1.3.1.2.1.	Коллагены (15-20)
1.1.1.3.1.2.1.1.	Фибриллярные коллагены (5-7)
1.1.1.3.1.2.1.2.	Сетеобразующие коллагены (5-7)
1.1.1.3.1.2.1.3.	Якорные коллагены (5-6)
1.1.1.3.1.2.2.	Протеогликаны (13-20)
1.1.1.3.1.2.2.1.	Крупные протеогликаны (4-7)
1.1.1.3.1.2.2.2.	Малые протеогликаны (4-7)
1.1.1.3.1.2.2.3.	Клеточно-поверхностные протеогликаны (5-6)
1.1.1.3.1.2.3.	Гликопротеины (12-20)
1.1.1.3.1.2.3.1.	Фибронектины (4-7)
1.1.1.3.1.2.3.2.	Ламинины (4-7)
1.1.1.3.1.2.3.3.	Эластин и другие (4-6)
1.1.1.3.1.3.	Мембранные белки (40-60) 
1.1.1.1.1.1.1.	Транспортные белки (15-20)
1.1.1.1.1.1.1.1.	Ионные каналы (5-7)
1.1.1.1.1.1.1.2.	Активные транспортеры (5-7)
1.1.1.1.1.1.1.3.	Переносчики малых молекул (5-6)
1.1.1.1.1.1.2.	Рецепторные белки (13-20)
1.1.1.1.1.1.2.1.	G-белок связанные рецепторы (4-7)
1.1.1.1.1.1.2.2.	Тирозинкиназные рецепторы (4-7)
1.1.1.1.1.1.2.3.	Адгезионные рецепторы (5-6)
1.1.1.1.1.1.3.	Структурные мембранные белки (12-20)
1.1.1.1.1.1.3.1.	Белки цитоскелетного прикрепления (4-7)
1.1.1.1.1.1.3.2.	Белки межклеточных контактов (4-7)
1.1.1.1.1.1.3.3.	Белки липидных рафтов (4-6)
1.1.1.3.2.	Аттракторы концентрации мембранных липидов (80-120)
1.1.1.3.2.1.	Структурные фосфолипиды (30-40)
1.1.1.3.2.1.1.	Глицерофосфолипиды (10-14)
1.1.1.3.2.1.1.1.	Фосфатидилхолины (3-5)
1.1.1.3.2.1.1.2.	Фосфатидилэтаноламины (3-4)
1.1.1.3.2.1.1.3.	Фосфатидилсерины (4-5)
1.1.1.3.2.1.2.	Кардиолипины (10-13)
1.1.1.3.2.1.2.1.	Митохондриальные кардиолипины (3-4)
1.1.1.3.2.1.2.2.	Мембранные кардиолипины (3-4)
1.1.1.3.2.1.2.3.	Специализированные формы (4-5)
1.1.1.3.2.1.3.	Фосфатидилинозитолы (10-13)
1.1.1.3.2.1.3.1.	Сигнальные формы (3-4)
1.1.1.3.2.1.3.2.	Мембранные якоря (3-4)
1.1.1.3.2.1.3.3.	Регуляторные формы (4-5)
1.1.1.3.2.2.	Холестерол и сфинголипиды (25-40) 
1.1.1.3.2.2.1.	Холестерол (8-13)
1.1.1.3.2.2.1.1.	Мембранный холестерол (2-4)
1.1.1.3.2.2.1.2.	Внутриклеточные пулы (3-5)
1.1.1.3.2.2.1.3.	Регуляторные формы (3-4)
1.1.1.3.2.2.2.	Сфингомиелины (8-13)
1.1.1.3.2.2.2.1.	Структурные сфингомиелины (2-4)
1.1.1.3.2.2.2.2.	Сигнальные формы (3-5)
1.1.1.3.2.2.2.3.	Рафт-ассоциированные формы (3-4)
1.1.1.3.2.2.3.	Гликосфинголипиды (9-14)
1.1.1.3.2.2.3.1.	Цереброзиды (3-5)
1.1.1.3.2.2.3.2.	Ганглиозиды (3-5)
1.1.1.3.2.2.3.3.	Сульфатиды (3-4)
1.1.1.3.2.3.	Специализированные липиды (25-40)
1.1.1.3.2.3.1.	Сигнальные липиды (8-13)
